,episodio,recompensa,distancia,pX,pY,pZ
365,366,591715,13.0,90.0,96.0,107.0
366,367,220042,22.0,119.0,96.0,89.0
367,368,591715,13.0,90.0,96.0,108.0
368,369,183894,24.0,120.0,96.0,87.0
369,370,488284,15.0,88.0,96.0,108.0
370,371,118906,29.0,124.0,96.0,84.0
371,372,59488,41.0,128.0,96.0,70.0
372,373,268005,20.0,83.0,96.0,109.0
373,374,1562500,8.0,95.0,96.0,105.0
374,375,45269,47.0,54.0,96.0,108.0
375,376,189035,23.0,118.0,96.0,87.0
376,377,47966,46.0,55.0,96.0,109.0
377,378,1562500,8.0,96.0,96.0,105.0
378,379,4750000,5.0,103.0,96.0,101.0
379,380,121787,29.0,121.0,96.0,81.0
380,381,59488,41.0,61.0,96.0,111.0
381,382,60492,41.0,60.0,96.0,108.0
382,383,111111,30.0,124.0,96.0,83.0
383,384,69252,38.0,127.0,96.0,74.0
384,385,195611,24.0,79.0,96.0,110.0
385,386,101924,32.0,70.0,96.0,111.0
386,387,97656,32.0,70.0,96.0,111.0
387,388,70516,38.0,127.0,96.0,74.0
388,389,101924,32.0,71.0,96.0,112.0
389,390,169074,25.0,119.0,96.0,84.0
390,391,37958,52.0,48.0,96.0,106.0
391,392,113709,30.0,71.0,96.0,108.0
392,393,30077,58.0,42.0,96.0,102.0
393,394,38964,51.0,50.0,96.0,108.0
394,395,259002,19.0,84.0,96.0,110.0
395,396,37470,52.0,48.0,96.0,104.0
396,397,390625,16.0,113.0,96.0,92.0
397,398,942148,11.0,92.0,96.0,106.0
398,399,1234567,9.0,108.0,96.0,98.0
399,400,298097,19.0,84.0,96.0,109.0
400,401,56753,43.0,58.0,96.0,106.0
401,402,77160,36.0,126.0,96.0,75.0
402,403,78651,36.0,125.0,96.0,75.0
403,404,86505,34.0,67.0,96.0,109.0
404,405,1562500,8.0,107.0,96.0,99.0
405,406,104275,32.0,70.0,96.0,109.0
406,407,2777777,6.0,104.0,96.0,101.0
407,408,226757,21.0,82.0,96.0,110.0
408,409,466364,15.0,112.0,96.0,92.0
409,410,3592592,6.0,100.0,96.0,104.0
410,411,308641,18.0,85.0,96.0,109.0
411,412,1562500,8.0,96.0,96.0,105.0
412,413,277008,19.0,116.0,96.0,90.0
